#"+EI TIC Scan MBPR053_02_GS1.d "
#Point,X(Minutes),Y(Counts)
462,1.753,0.756532529097682
463,1.757,0.758545489383564
464,1.760,0.76083088038483
465,1.764,0.762162763882256
466,1.767,0.758333598827156
467,1.771,0.759778995122658
468,1.775,0.769639473515535
469,1.778,0.770328117823863
470,1.782,0.759635212245095
471,1.785,0.75395957234129
472,1.789,0.757259011005369
473,1.793,0.756691447014988
474,1.796,0.750372567922086
475,1.800,0.748208257238768
476,1.803,0.752355258128481
477,1.807,0.758121708270747
478,1.810,0.762147628842512
479,1.814,0.763540052498912
480,1.818,0.763540052498912
481,1.821,0.765030853913645
482,1.825,0.761716280209823
483,1.828,0.747383397572748
484,1.832,0.737500216620256
485,1.836,0.744984493773407
486,1.839,0.757947655313697
487,1.843,0.765598417904026
488,1.846,0.769480555598228
489,1.850,0.77274972418282
490,1.854,0.774747549428959
491,1.857,0.777638342019963
492,1.861,0.774906467346265
493,1.864,0.759839535281632
494,1.868,0.738930477876015
495,1.871,0.734117535237589
496,1.875,0.748745551149661
497,1.879,0.76222330404123
498,1.882,0.758083870671388
499,1.886,0.747027724138776
500,1.889,0.745385572326609
501,1.893,0.757463334041905
502,1.897,0.777782124897526
503,1.900,0.794203643019201
504,1.904,0.793189595356388
505,1.907,0.779076170795594
506,1.911,0.770282712704632
507,1.914,0.773915122243067
508,1.918,0.779000495596876
509,1.922,0.77779725993727
510,1.925,0.770592981019374
511,1.929,0.759915210480349
512,1.932,0.749252574981068
513,1.936,0.744197471706746
514,1.940,0.747829881245181
515,1.943,0.761042770941238
516,1.947,0.772901074580254
517,1.950,0.772636211384743
518,1.954,0.770381090462965
519,1.958,0.769843796552071
520,1.961,0.760490341990601
521,1.965,0.750705538796442
522,1.968,0.751212562627849
523,1.972,0.760240613834834
524,1.975,0.765938956298254
525,1.979,0.762056818604051
526,1.983,0.754739026888079
527,1.986,0.754920647365001
528,1.990,0.762881678270071
529,1.993,0.766778951004017
530,1.997,0.764856800956595
531,2.001,0.763956266091858
532,2.004,0.762775732991867
533,2.008,0.761443849494441
534,2.011,0.760929258143162
535,2.015,0.761451417014312
536,2.019,0.761201688858545
537,2.022,0.765023286393773
538,2.026,0.768882721528361
539,2.029,0.766150846854663
540,2.033,0.760202776235475
541,2.036,0.756676311975245
542,2.040,0.753490386109242
543,2.044,0.750122839766318
544,2.047,0.753535791228473
545,2.051,0.759468726807916
546,2.054,0.755745507031021
547,2.058,0.747148804456724
548,2.062,0.746982319019546
549,2.065,0.754254705616288
550,2.069,0.760497909510473
551,2.072,0.762253574120717
552,2.076,0.765848146059793
553,2.080,0.771175680049498
554,2.083,0.772288105470643
555,2.087,0.769041639445667
556,2.090,0.763676267856604
557,2.094,0.759128188413688
558,2.097,0.757977925393184
559,2.101,0.76135303925598
560,2.105,0.76366113281686
561,2.108,0.765000583834158
562,2.112,0.769563798316817
563,2.115,0.770048119588608
564,2.119,0.763169244025197
565,2.123,0.759945480559836
566,2.126,0.765969226377741
567,2.130,0.769669743595021
568,2.133,0.765795173420691
569,2.137,0.761368174295723
570,2.141,0.760724935106625
571,2.144,0.760891420543804
572,2.148,0.764637342880315
573,2.151,0.769291367601434
574,2.155,0.766673005725813
575,2.158,0.761012500861751
576,2.162,0.759423321688686
577,2.166,0.75970331992394
