Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
MBPR053_02_LQ1.D,FID1A,19.856,1.2460,0.4293,
MBPR053_02_LQ1.D,FID1A,19.940,3.0961,0.6742,
MBPR053_02_LQ1.D,FID1A,20.029,2.0419,0.6157,
MBPR053_02_LQ1.D,FID1A,20.097,1.6863,0.4566,
MBPR053_02_LQ1.D,FID1A,20.155,0.8094,0.3418,
MBPR053_02_LQ1.D,FID1A,20.202,1.0258,0.3916,
MBPR053_02_LQ1.D,FID1A,20.248,0.9509,0.3829,
MBPR053_02_LQ1.D,FID1A,20.294,0.5135,0.2983,
MBPR053_02_LQ1.D,FID1A,20.325,0.6849,0.3068,
MBPR053_02_LQ1.D,FID1A,20.400,1.7245,0.4367,
MBPR053_02_LQ1.D,FID1A,20.450,1.4790,0.5424,
MBPR053_02_LQ1.D,FID1A,20.513,0.9492,0.4180,
MBPR053_02_LQ1.D,FID1A,20.572,1.9092,0.6548,
MBPR053_02_LQ1.D,FID1A,20.663,1.3294,0.4361,
MBPR053_02_LQ1.D,FID1A,20.700,1.3440,0.4691,
MBPR053_02_LQ1.D,FID1A,20.757,0.6448,0.2150,
MBPR053_02_LQ1.D,FID1A,20.849,1.0058,0.3463,
MBPR053_02_LQ1.D,FID1A,20.875,0.7980,0.3515,
MBPR053_02_LQ1.D,FID1A,20.924,1.1763,0.5647,
MBPR053_02_LQ1.D,FID1A,20.976,1.3877,0.6717,
MBPR053_02_LQ1.D,FID1A,21.045,1.4143,0.4396,
MBPR053_02_LQ1.D,FID1A,21.114,2.4571,0.6003,
MBPR053_02_LQ1.D,FID1A,21.232,0.6117,0.2774,
MBPR053_02_LQ1.D,FID1A,21.260,0.3106,0.2551,
MBPR053_02_LQ1.D,FID1A,21.293,0.7234,0.2987,
MBPR053_02_LQ1.D,FID1A,21.356,1.2941,0.5002,
MBPR053_02_LQ1.D,FID1A,21.402,0.7375,0.3451,
MBPR053_02_LQ1.D,FID1A,21.461,1.6164,0.4701,
MBPR053_02_LQ1.D,FID1A,21.535,2.0219,0.4334,
MBPR053_02_LQ1.D,FID1A,21.655,1.2229,0.5924,
MBPR053_02_LQ1.D,FID1A,21.743,1.1340,0.3272,
MBPR053_02_LQ1.D,FID1A,21.791,0.5014,0.2445,
MBPR053_02_LQ1.D,FID1A,21.872,0.8714,0.2877,
MBPR053_02_LQ1.D,FID1A,21.934,1.1176,0.3361,
MBPR053_02_LQ1.D,FID1A,21.993,0.6083,0.2778,
MBPR053_02_LQ1.D,FID1A,22.038,0.8712,0.4200,
MBPR053_02_LQ1.D,FID1A,22.090,0.8274,0.3722,
MBPR053_02_LQ1.D,FID1A,22.130,0.9194,0.3329,
MBPR053_02_LQ1.D,FID1A,22.194,0.6146,0.2343,
MBPR053_02_LQ1.D,FID1A,22.252,0.4007,0.1633,
MBPR053_02_LQ1.D,FID1A,22.309,0.4020,0.1716,
MBPR053_02_LQ1.D,FID1A,22.356,0.3348,0.1588,
MBPR053_02_LQ1.D,FID1A,22.404,0.6829,0.2830,
MBPR053_02_LQ1.D,FID1A,22.493,0.5937,0.2585,
MBPR053_02_LQ1.D,FID1A,22.514,0.4575,0.2617,
MBPR053_02_LQ1.D,FID1A,22.600,1.9201,0.5763,
MBPR053_02_LQ1.D,FID1A,22.690,1.1780,0.3610,
MBPR053_02_LQ1.D,FID1A,22.772,0.2642,0.1532,
MBPR053_02_LQ1.D,FID1A,22.812,0.3055,0.1685,
MBPR053_02_LQ1.D,FID1A,22.871,0.3795,0.1314,
MBPR053_02_LQ1.D,FID1A,22.971,0.9524,0.3135,
MBPR053_02_LQ1.D,FID1A,23.052,1.4120,0.7236,
MBPR053_02_LQ1.D,FID1A,23.091,0.3077,0.1830,
MBPR053_02_LQ1.D,FID1A,23.135,0.4031,0.2062,
MBPR053_02_LQ1.D,FID1A,23.181,0.7177,0.2726,
MBPR053_02_LQ1.D,FID1A,23.221,0.2396,0.1485,
MBPR053_02_LQ1.D,FID1A,23.341,0.5428,0.1397,
MBPR053_02_LQ1.D,FID1A,23.403,0.1061,0.0589,
MBPR053_02_LQ1.D,FID1A,23.463,0.9327,0.1993,
MBPR053_02_LQ1.D,FID1A,23.552,0.3577,0.1672,
MBPR053_02_LQ1.D,FID1A,23.619,0.4649,0.1831,
MBPR053_02_LQ1.D,FID1A,23.672,0.6437,0.2498,
MBPR053_02_LQ1.D,FID1A,23.763,0.2127,0.1012,
MBPR053_02_LQ1.D,FID1A,23.812,0.3869,0.1151,
MBPR053_02_LQ1.D,FID1A,23.885,0.0660,0.0411,
MBPR053_02_LQ1.D,FID1A,23.974,0.4714,0.1317,
MBPR053_02_LQ1.D,FID1A,24.055,0.7744,0.2144,
MBPR053_02_LQ1.D,FID1A,24.101,0.5821,0.1633,
MBPR053_02_LQ1.D,FID1A,24.218,0.1031,0.0430,
MBPR053_02_LQ1.D,FID1A,24.349,0.1161,0.0591,
MBPR053_02_LQ1.D,FID1A,24.440,0.3459,0.1071,
MBPR053_02_LQ1.D,FID1A,24.488,0.1292,0.0721,
MBPR053_02_LQ1.D,FID1A,24.530,0.0352,0.0231,
MBPR053_02_LQ1.D,FID1A,24.572,0.2261,0.1603,
MBPR053_02_LQ1.D,FID1A,24.614,0.4496,0.2672,
MBPR053_02_LQ1.D,FID1A,24.707,0.3349,0.1220,
MBPR053_02_LQ1.D,FID1A,24.780,0.1415,0.0770,
MBPR053_02_LQ1.D,FID1A,24.837,0.0628,0.0339,
MBPR053_02_LQ1.D,FID1A,24.906,0.1378,0.0816,
MBPR053_02_LQ1.D,FID1A,24.949,1.1701,0.5848,
MBPR053_02_LQ1.D,FID1A,25.036,0.2427,0.0892,
MBPR053_02_LQ1.D,FID1A,25.074,0.0591,0.0598,
MBPR053_02_LQ1.D,FID1A,25.177,0.0752,0.0329,
MBPR053_02_LQ1.D,FID1A,25.288,0.4574,0.1294,
MBPR053_02_LQ1.D,FID1A,25.349,0.3616,0.1113,
