,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
130,3.8495,"Pentane, 3-methyl-",C6H14,99.3904648632136,"Pentane, 3-methyl-",C6H14,99.3904648632136,"Hexane, 2,2,3-trimethyl-",C9H20,93.6668392566599
131,3.7013,"2-Butene, 2,3-dimethyl-",C6H12,87.5050457878381,"2-Butene, 2,3-dimethyl-",C6H12,87.5050457878381,"2-Pentene, 4-methyl-",C6H12,85.6374148276792
132,3.6519,"Pentane, 2-methyl-",C6H14,96.0844699704741,"Pentane, 2-methyl-",C6H14,96.0844699704741,"Pentane, 2-methyl-",C6H14,91.6616505388086
133,3.6081,"Butane, 2,3-dimethyl-",C6H14,93.0851586686029,"Butane, 2,3-dimethyl-",C6H14,93.0851586686029,"Butane, 2,3-dimethyl-",C6H14,92.3936416651
134,3.5445,3-Ethyl-2-methyl-1-heptene,C10H20,67.8472118109111,"2-Methylthiolane, S,S-dioxide",C5H10O2S,73.6826692906528,"2-Pentene, 3-methyl-",C6H12,65.8069411463657
135,3.5363,"Pentane, 3-methylene-",C6H12,96.0318108159839,"Pentane, 3-methylene-",C6H12,96.0318108159839,2-Piperidinemethanol,C6H13NO,64.8581858736097
136,3.295,"Butane, 2,2-dimethyl-",C6H14,92.8779027348043,"Butane, 2,2-dimethyl-",C6H14,92.8779027348043,"Butane, 2,2-dimethyl-",C6H14,87.7246921458765
137,3.1898,"Cyclopropane, 1,2-dimethyl-, cis-",C5H10,98.8221538143141,"Cyclopropane, 1,2-dimethyl-, cis-",C5H10,98.8221538143141,Hydrazine,H4N2,90.0786714104555
138,3.1327,2-Nonen-4-one,C9H16O,58.6966477452007,2-Nonen-4-one,C9H16O,58.6966477452007,2-Nonen-4-one,C9H16O,57.2131768069854
139,3.0965,"Cyclopropane, 1,2-dimethyl-, cis-",C5H10,98.0981841057701,"Cyclopropane, 1,2-dimethyl-, cis-",C5H10,98.0981841057701,"Cyclopropane, 1,2-dimethyl-, cis-",C5H10,97.5374670612929
140,3.0271,Pentane,C5H12,94.6159271074989,Pentane,C5H12,94.6159271074989,Hydrogen isocyanate,CHNO,81.2219334186966
141,3.0186,"Cyclobutane, 1,1,2,3,3-pentamethyl-",C9H18,68.3662922326601,"Cyclobutane, 1,1,2,3,3-pentamethyl-",C9H18,68.3662922326601,Chloro(prop-2-yn-1-yloxy)methanone,C4H3ClO2,55.9717544670778
142,3.0094,Propanal,C3H6O,75.6836488367044,"Ethylamine, 2-((p-bromo-.alpha.-methyl-.alpha.-phenylbenzyl)oxy)-N,N-dimethyl-",C18H22BrNO,83.8729896192223,Etilefrine,C10H15NO2,75.279028897139
143,2.9776,1-Pentene,C5H10,86.7758549783766,1-Pentene,C5H10,86.7758549783766,Cyclopentane,C5H10,86.1182753016551
144,2.8838,"Butane, 2-methyl-",C5H12,97.8753376201111,"Butane, 2-methyl-",C5H12,97.8753376201111,Pentane,C5H12,94.1576115763579
145,2.8148,2-Methyl-1-butene,C5H10,98.3347944933811,2-Methyl-1-butene,C5H10,98.3347944933811,"2-Pentene, (Z)-",C5H10,97.13144766553
146,2.702,2-Butene,C4H8,99.4456050013816,2-Butene,C4H8,99.4456050013816,"2-Butene, (E)-",C4H8,97.7810100615037
147,2.6596,2-Propenal,C3H4O,79.2091327617341,2-Propenal,C3H4O,79.2091327617341,2-Propenal,C3H4O,69.8490562712139
148,2.6285,Butane,C4H10,89.6359520412108,Acetone,C3H6O,94.4257493874534,Isobutane,C4H10,85.5118742317745
149,2.6127,"2-Butene, (Z)-",C4H8,96.8665913920495,"2-Butene, (Z)-",C4H8,96.8665913920495,"2-Butene, (E)-",C4H8,96.0407348774003
150,2.5583,Isobutane,C4H10,99.4620357968821,Isobutane,C4H10,99.4620357968821,Isobutane,C4H10,97.8768191145294
151,2.4822,Acetaldehyde,C2H4O,79.4055992690625,Acetaldehyde,C2H4O,79.4055992690625,Ethylene oxide,C2H4O,73.63225415617
152,2.4364,No Match,,,Methylamine,CH5N,77.3874553463897,"2-Propanol, 1-amino-, (R)-",C3H9NO,54.2908567122172
153,2.4302,No Match,,,Nitrous oxide,N2O,93.4393072723166,1-(2-Aminopropoxy)-2-methoxyethane,C6H15NO2,58.69340279047
154,2.4105,Ketene,C2H2O,66.8606085848946,Argon,Ar,93.2510440116684,Ketene,C2H2O,64.792754711135
