,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
65,8.1396,"3,5-Dimethylcyclopentene",C7H12,84.522227157379,"3,5-Dimethylcyclopentene",C7H12,84.522227157379,"Furan, 2-ethyl-",C6H8O,67.9107356956178
66,8.0798,"1-Hexene, 2,5-dimethyl-",C8H16,88.4361316989429,"1-Hexene, 2,5-dimethyl-",C8H16,88.4361316989429,"1-Heptene, 2-methyl-",C8H16,80.6094603916365
67,7.9877,"2,3-Dimethyl-1-hexene",C8H16,78.076923810917,"2,3-Dimethyl-1-hexene",C8H16,78.076923810917,"3,3'-Bifuran, 2,2',3,3'-tetrahydro-",C8H10O2,70.8333801005056
68,7.9777,"Pentane, 3-ethyl-",C7H16,78.505852617796,"Pentane, 3-ethyl-",C7H16,78.505852617796,"Borinic acid, diethyl-, methyl ester",C5H13BO,77.0880372360377
69,7.9222,3-Ethyl-3-hexene,C8H16,96.5007328888262,3-Ethyl-3-hexene,C8H16,96.5007328888262,4-Oxohex-2-enal,C6H8O2,67.4731598220316
70,7.8383,Methyl Isobutyl Ketone,C6H12O,93.3013051728967,Methyl Isobutyl Ketone,C6H12O,93.3013051728967,2-Hexanone,C6H12O,86.63935021088
71,7.762,"3,4-Dimethyl-2-hexene",C8H16,77.2546657848471,"4-Hexen-3-one, 5-methyl-",C7H12O,79.4053616325228,"4-Hexen-3-one, 4-methyl-",C7H12O,75.2952008293997
72,7.7188,"Pentane, 2,3,3-trimethyl-",C8H18,72.4777197048454,"Pentane, 2,3,3-trimethyl-",C8H18,72.4777197048454,"Heptane, 2,4-dimethyl-",C9H20,71.5770832375935
73,7.6507,"3,4-Dimethyl-2-hexene",C8H16,82.0700511033784,"4-Hexen-3-one, 5-methyl-",C7H12O,84.2731194878383,"2-Hexene, 2,4-dimethyl-",C8H16,81.1371531217702
74,7.5206,"Hexane, 2,4-dimethyl-",C8H18,97.1672361267449,"Hexane, 2,4-dimethyl-",C8H18,97.1672361267449,"Pentane, 3-ethyl-2,2-dimethyl-",C9H20,90.0405759832451
75,7.4669,"Hexane, 2,5-dimethyl-",C8H18,98.7060009467317,"Hexane, 2,5-dimethyl-",C8H18,98.7060009467317,"Heptane, 2-methyl-",C8H18,88.3548129256787
76,7.4057,"4-(1,2-Dimethyl-cyclopent-2-enyl)-butan-2-one",C11H18O,66.6152843653261,"Pyrimidine, 4-butyl-3,4-dihydro-5-methyl-",C9H16N2,73.2750162282465,"2-Furoic acid, 2,3,4,6-tetrachlorophenyl ester",C11H4Cl4O3,64.5590198347237
77,7.2298,"Cyclohexane, methyl-",C7H14,97.0086944591394,"Cyclohexane, methyl-",C7H14,97.0086944591394,"2-Heptene, 5-ethyl-2,4-dimethyl-",C11H22,68.4572249100911
78,7.1853,"Propanoic acid, anhydride",C6H10O3,89.6381200534149,"Propanoic acid, anhydride",C6H10O3,89.6381200534149,"Butanoic acid, 2-oxo-, ethyl ester",C6H10O3,86.9786763125387
79,7.1141,"2-Hexene, 5,5-dimethyl-, (Z)-",C8H16,71.2569744603818,"1,2-Bis(tert-butylimino)ethane",C10H20N2,74.7726801674933,"Heptane, 2,2,6,6-tetramethyl-4-methylene-",C12H24,70.134323529931
80,7.054,"2-Pentene, 3,4-dimethyl-, (Z)-",C7H14,96.7385123921026,"2-Pentene, 3,4-dimethyl-, (Z)-",C7H14,96.7385123921026,"2-Pentene, 3,4-dimethyl-, (E)-",C7H14,85.9221346436161
81,6.993,"3,5-Dimethylcyclopentene",C7H12,66.2999754908623,Dimethylphosphinic fluoride,C2H6FOP,78.1230511274032,Methanesulfonic anhydride,C2H6O5S2,63.8996618768246
82,6.9434,"4-Methyl-2-hexene,c&t",C7H14,95.754215438359,"4-Methyl-2-hexene,c&t",C7H14,95.754215438359,3-Methyl-3-hexene,C7H14,92.1120210246434
83,6.8637,(Z)-4-Methyl-2-hexene,C7H14,89.2633165356911,(Z)-4-Methyl-2-hexene,C7H14,89.2633165356911,3-Methyl-3-hexene,C7H14,84.1146266267643
84,6.8223,2-Propenal,C3H4O,85.3611251130442,"Ethane, diazo-",C2H4N2,87.8699268151735,"Butane, 1-chloro-",C4H9Cl,80.7079103757026
85,6.7325,"4-Methyl-2-hexene,c&t",C7H14,95.3318778581025,"4-Methyl-2-hexene,c&t",C7H14,95.3318778581025,5-Hexynenitrile,C6H7N,50.8675689537302
86,6.7204,No Match,,,2-Methoxy-succinonitrile,C5H6N2O,54.8062721343795,2-Methoxy-succinonitrile,C5H6N2O,54.8040887012555
87,6.7133,"Furan, 2-ethyl-",C6H8O,69.1045828521352,Dimethylphosphinic fluoride,C2H6FOP,77.9922628453143,"1H-Imidazole-4-ethanamine, 1-methyl-",C6H11N3,64.3607777684646
88,6.673,No Match,,,"2'-Desoxyuridine, 3',5'-bis-O-(chloroacetyl)-",C13H14Cl2N2O7,51.4732674055433,"2'-Desoxyuridine, 3',5'-bis-O-(chloroacetyl)-",C13H14Cl2N2O7,50.2410399331587
89,6.6281,No Match,,,Diethylcyanamide,C5H10N2,71.8327811643369,"5-(Piperidin-1-ylmethyl)-3-pyridin-3-yl-5,6-dihydro-4H-1,2,4-oxadiazine",C14H20N4O,66.2794715950244
90,6.5978,Heptane,C7H16,94.9486732496859,Heptane,C7H16,94.9486732496859,Heptane,C7H16,89.2930274038098
91,6.5272,3-Methyl-3-hexene,C7H14,96.6215402069608,3-Methyl-3-hexene,C7H14,96.6215402069608,"2-Hexene, 4-methyl-, (E)-",C7H14,87.739489970652
92,6.3877,"Cyclobutane, 2-ethyl-1-methyl-3-propyl-",C10H20,87.7810901569617,"Cyclobutane, 2-ethyl-1-methyl-3-propyl-",C10H20,87.7810901569617,Cyclohexanone,C6H10O,75.754940984906
93,6.3758,"Cyclobutane, 2-ethyl-1-methyl-3-propyl-",C10H20,88.7741682329671,2-Propenal,C3H4O,89.2813425075524,2-Propenal,C3H4O,81.1687866546719
94,6.3282,"2-Pentene, 3,4-dimethyl-, (Z)-",C7H14,93.5830528163151,"2-Pentene, 3,4-dimethyl-, (Z)-",C7H14,93.5830528163151,Butanenitrile,C4H7N,59.2277111114149
95,6.2871,"1-Hexene, 2-methyl-",C7H14,81.4619187106289,"1-Hexene, 2-methyl-",C7H14,81.4619187106289,"3,5-Dimethyldihydropyran-2,6-dione",C7H10O3,77.0227119525446
96,6.2202,"2-Pentene, 4,4-dimethyl-, (Z)-",C7H14,77.4045679387039,"2,4-Azetidinedione, 3,3-diethyl-1-methyl-",C8H13NO2,83.1923603141615,(Z)-4-Methyl-2-hexene,C7H14,74.6755111142748
97,6.215,"Hexane, 3-ethyl-4-methyl-",C9H20,91.1178932230742,"Hexane, 3-ethyl-4-methyl-",C9H20,91.1178932230742,"Cyclopentane, 1,3-dimethyl-, cis-",C7H14,81.9168379715483
98,6.2061,"3-Heptanone, 2,4-dimethyl-",C9H18O,84.1664444807465,"3-Heptanone, 2,4-dimethyl-",C9H18O,84.1664444807465,2-Ethyltetrahydrofuran,C6H12O,73.4091069639842
99,6.1372,Isopropylcyclobutane,C7H14,89.4299005696378,Isopropylcyclobutane,C7H14,89.4299005696378,"Cyclopentane, 1,3-dimethyl-, cis-",C7H14,80.7112853843512
100,6.0762,"2-Pentene, 3,4-dimethyl-, (Z)-",C7H14,94.2025857192189,"2-Pentene, 3,4-dimethyl-, (Z)-",C7H14,94.2025857192189,"Cyclopropane, 1,1,2,3-tetramethyl-",C7H14,86.5605808496218
101,5.9096,"Hexane, 3-methyl-",C7H16,98.614771566275,"Hexane, 3-methyl-",C7H16,98.614771566275,Heptane,C7H16,93.8633860613795
102,5.7565,"2-Propenoic acid, anhydride",C6H6O3,75.1986868378416,"2-Propenoic acid, anhydride",C6H6O3,75.1986868378416,"2(3H)-Furanone, 5-methyl-",C5H6O2,56.4703249871559
103,5.721,"Hexane, 2,2,5,5-tetramethyl-",C10H22,69.9910763903895,"Hexane, 2,2,5,5-tetramethyl-",C10H22,69.9910763903895,"Hexane, 2,2,4-trimethyl-",C9H20,67.9991464524455
104,5.6917,4-Hexen-3-one,C6H10O,62.4501147411031,4-Hexen-3-one,C6H10O,62.4501147411031,"1-Penten-3-one, 2-methyl-",C6H10O,54.9335559138775
105,5.6669,"Hexane, 2-methyl-",C7H16,96.6388114467816,"Hexane, 2-methyl-",C7H16,96.6388114467816,"Pentane, 2,4-dimethyl-",C7H16,86.5362275588095
106,5.5736,Benzene,C6H6,93.7600280146418,Benzene,C6H6,93.7600280146418,Benzene,C6H6,67.8651898636186
107,5.5532,3-Methyl-3-hexene,C7H14,93.6830165918498,3-Methyl-3-hexene,C7H14,93.6830165918498,"2-Pentene, 2-methyl-",C6H12,84.3796984492968
108,5.4815,"1-Pentene, 3,3-dimethyl-",C7H14,95.7030705004159,"1-Pentene, 3,3-dimethyl-",C7H14,95.7030705004159,"2-Hexene, 4-methyl-, (E)-",C7H14,83.4351852180193
109,5.3917,"2-Pentene, 2,4-dimethyl-",C7H14,94.176180602719,"2-Pentene, 2,4-dimethyl-",C7H14,94.176180602719,"2-Pentanone, 5-hydroxy-",C5H10O2,56.4096073270441
110,5.3362,"Pentane, 3,3-dimethyl-",C7H16,84.1401362802603,"Pentane, 3,3-dimethyl-",C7H16,84.1401362802603,"Octane, 2,6,6-trimethyl-",C11H24,77.9333010383718
111,5.3227,"Butanoic acid, 4-hexenyl ester, (Z)-",C10H18O2,83.622472917795,"Butanoic acid, 4-hexenyl ester, (Z)-",C10H18O2,83.622472917795,"4-Hexen-1-ol, 2-methylpropionate",C10H18O2,81.8803494080331
112,5.3175,"Cyclopentene, 1-methyl-",C6H10,81.6567482089503,"4-Hexen-1-ol, trifluoroacetate",C8H11F3O2,88.2764924404449,"Cyclopentene, 3-methyl-",C6H10,80.090594081037
113,5.1645,"1-Pentene, 2,4-dimethyl-",C7H14,97.2077491836082,"1-Pentene, 2,4-dimethyl-",C7H14,97.2077491836082,"1-Pentene, 2,4-dimethyl-",C7H14,78.9517457142673
114,4.8569,No Match,,,"1H-Pyrazole, 4,5-dihydro-4,5-dimethyl-",C5H10N2,60.9056134828951,"1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-",C5H10N2,57.531388776491
115,4.797,"2-Pentene, 4-methyl-",C6H12,97.5275230046573,"2-Pentene, 4-methyl-",C6H12,97.5275230046573,Vinyl crotonate,C6H8O2,81.8576350829806
116,4.7042,"1-Octyn-3-ol, 3-methyl-",C9H16O,59.851928310257,"1-Octyn-3-ol, 3-methyl-",C9H16O,59.851928310257,2-Octen-4-one,C8H14O,56.5866273387395
117,4.6907,"Pentane, 2,4-dimethyl-",C7H16,97.8638560900475,"Pentane, 2,4-dimethyl-",C7H16,97.8638560900475,1H-Tetrazol-5-amine,CH3N5,85.1473227998228
118,4.6483,"Furan, 2-methoxy-",C5H6O2,89.262024387798,"Furan, 2-methoxy-",C5H6O2,89.262024387798,Diethylcyanamide,C5H10N2,73.8609869435522
119,4.5622,"2-Pentene, 3-methyl-",C6H12,97.5198086074035,"2-Pentene, 3-methyl-",C6H12,97.5198086074035,"2-Pentene, 3-methyl-, (Z)-",C6H12,95.3293916087882
120,4.4364,2-Hexene,C6H12,97.2540750593731,2-Hexene,C6H12,97.2540750593731,"3-Hexene, (E)-",C6H12,89.0973561688192
121,4.3511,"2-Pentene, 3-methyl-",C6H12,97.8464065233632,"2-Pentene, 3-methyl-",C6H12,97.8464065233632,"2-Pentene, 3-methyl-, (Z)-",C6H12,80.4032062539931
122,4.2926,"1-Butene, 2,3-dimethyl-",C6H12,93.7847144263156,"1-Butene, 2,3-dimethyl-",C6H12,93.7847144263156,"2-Butene, 2,3-dimethyl-",C6H12,90.4460602693412
123,4.2502,2-Propenal,C3H4O,74.9323287572683,"1-[(1-Oxo-2-propenyl)oxy]-2,5-pyrrolidinedione",C7H7NO4,77.3311729673036,"1-[(1-Oxo-2-propenyl)oxy]-2,5-pyrrolidinedione",C7H7NO4,71.348217689299
124,4.2084,No Match,,,"1,2,4,5-Tetrazine, 1,4-dihydro-3,6-dimethyl-",C4H8N4,78.3390358301788,"L-Proline, 5-oxo-, methyl ester",C6H9NO3,62.4792511293689
125,4.1608,"Furan, 2,3-dihydro-3-methyl-",C5H8O,61.2744520824434,"Furan, 2,3-dihydro-3-methyl-",C5H8O,61.2744520824434,2-Octen-4-one,C8H14O,52.8440890841291
126,4.1489,No Match,,,"Benzyl alcohol, .alpha.-(1-(dimethylamino)ethyl)-",C11H17NO,69.4540785540525,"Indole, 3-methyl-2-(2-dimethylaminopropyl)-",C14H20N2,59.5026900452474
127,4.1171,n-Hexane,C6H14,97.8399766720027,2-Ethyl-oxetane,C5H10O,98.4633543970804,n-Hexane,C6H14,95.9959482017465
128,4.0221,Propanedioic acid,C3H4O4,54.6565487039331,"Hydrazine, 1,2-dimethyl-",C2H8N2,73.2304854523182,Thiirane,C2H4S,52.7211423940859
129,3.9665,"1-Pentene, 2-methyl-",C6H12,97.4344493210459,"1-Pentene, 2-methyl-",C6H12,97.4344493210459,"1-Pentene, 2-methyl-",C6H12,92.9439972876098
