#"+EI TIC Scan MBPR053_02_LQ1.d "
#Point,X(Minutes),Y(Counts)
452,3.025,0
453,3.031,0
454,3.038,0
455,3.044,0
456,3.051,0
457,3.057,0
458,3.064,0
459,3.070,0
460,3.077,0
461,3.083,0
462,3.090,0
463,3.096,0
464,3.103,0
465,3.109,0
466,3.116,0
467,3.122,0
468,3.129,0
469,3.135,0
470,3.141,0
471,3.148,0
472,3.154,0
473,3.161,0
474,3.167,0
475,3.174,0
476,3.180,0
477,3.187,0
478,3.193,0
479,3.200,0
480,3.206,0
481,3.213,0
482,3.219,0
483,3.226,0
484,3.232,0
485,3.238,0
486,3.245,0
487,3.251,0
488,3.258,0
489,3.264,0
490,3.271,0
491,3.277,0
492,3.284,0
493,3.290,0
494,3.297,0
495,3.303,0
496,3.310,0
497,3.316,0
498,3.323,0
499,3.329,0
500,3.336,0
501,3.342,0
502,3.348,0
503,3.355,0
504,3.361,0
505,3.368,0
506,3.374,0
507,3.381,0
508,3.387,0
509,3.394,0
510,3.400,0
511,3.407,0
512,3.413,0
513,3.420,0
514,3.426,0
515,3.433,0
516,3.439,0
517,3.445,0
518,3.452,0
519,3.458,0
520,3.465,0
521,3.471,0
522,3.478,0
523,3.484,0
524,3.491,0
525,3.497,0
526,3.504,0
527,3.510,0
528,3.517,0
529,3.523,0
530,3.530,0
531,3.536,0
532,3.543,0
533,3.549,0
534,3.555,0
535,3.562,0
536,3.568,0
537,3.575,0
538,3.581,0
539,3.588,0
540,3.594,0
541,3.601,0
542,3.607,0
543,3.614,0
544,3.620,0
545,3.627,0
546,3.633,0
547,3.640,0
548,3.646,0
549,3.652,0
550,3.659,0
551,3.665,0
552,3.672,0
553,3.678,0
554,3.685,0
555,3.691,0
556,3.698,0
557,3.704,0
558,3.711,0
559,3.717,0
560,3.724,0
561,3.730,0
562,3.737,0
563,3.743,0
564,3.750,0
565,3.756,0
566,3.762,0
567,3.769,0
568,3.775,0
569,3.782,0
570,3.788,0
571,3.795,0
572,3.801,0
573,3.808,0
574,3.814,0
575,3.821,0
576,3.827,0
577,3.834,0
578,3.840,0
579,3.847,0
580,3.853,0
581,3.859,0
582,3.866,0
583,3.872,0
584,3.879,0
585,3.885,0
586,3.892,0
587,3.898,0
588,3.905,0
589,3.911,0
590,3.918,0
591,3.924,0
592,3.931,0
593,3.937,0
594,3.944,0
595,3.950,0
596,3.957,0
597,3.963,0
598,3.969,0
599,3.976,0
600,3.982,0
601,3.989,0
602,3.995,0
603,4.002,0
604,4.008,0
605,4.015,0
606,4.021,0
607,4.028,0
608,4.034,0
609,4.041,0
610,4.047,0
611,4.054,0
612,4.060,0
613,4.066,0
614,4.073,0
615,4.079,0
616,4.086,0
617,4.092,0
618,4.099,0
619,4.105,0
620,4.112,0
621,4.118,0
622,4.125,0
623,4.131,0
624,4.138,0
625,4.144,0
626,4.151,0
627,4.157,0
628,4.164,0
629,4.170,0
630,4.176,0
631,4.183,0
632,4.189,0
633,4.196,0
634,4.202,0
635,4.209,0
636,4.215,0
637,4.222,0
638,4.228,0
639,4.235,0
640,4.241,0
641,4.248,0
642,4.254,0
643,4.261,0
644,4.267,0
645,4.273,0
646,4.280,0
647,4.286,0
648,4.293,0
649,4.299,0
650,4.306,0
651,4.312,0
652,4.319,0
653,4.325,0
654,4.332,0
655,4.338,0
656,4.345,0
657,4.351,0
658,4.358,0
659,4.364,0
660,4.371,0
661,4.377,0
662,4.383,0
663,4.390,0
664,4.396,0
665,4.403,0
666,4.409,0
667,4.416,0.0700967702978719
668,4.422,0.430175072471516
669,4.429,1.23875814394636
670,4.435,3.26755486140315
671,4.442,6.09829968195112
672,4.448,7.96720082139954
673,4.455,8.21060630722959
674,4.461,7.97272598392046
675,4.468,7.80931005398191
676,4.474,7.61307728401627
677,4.480,7.42251287732803
678,4.487,7.26204449629373
679,4.493,7.04727916176005
680,4.500,6.81183325131112
681,4.506,6.65426468559558
682,4.513,6.51808076618133
683,4.519,6.34446178234344
684,4.526,6.20262143304816
685,4.532,6.08563834839885
686,4.539,5.90505026107885
687,4.545,5.71935468011099
688,4.552,5.60759842307327
689,4.558,5.49035280370374
690,4.565,5.3124855307569
691,4.571,5.17649254568462
692,4.578,5.07644295048929
693,4.584,4.94691786625145
694,4.590,4.81741664880635
695,4.597,4.72314281745579
696,4.603,4.61184002948026
697,4.610,4.47460597118514
698,4.616,4.35917422806439
699,4.623,4.24266847927002
700,4.629,4.11043451405539
701,4.636,4.01083838792226
702,4.642,3.94314023029546
703,4.649,3.85106214387762
704,4.655,3.74705066108629
705,4.662,3.66423289025428
706,4.668,3.56603297149684
707,4.675,3.44995682497192
708,4.681,3.36846366113737
709,4.687,3.30515699337601
710,4.694,3.21534625226914
711,4.700,3.13402015598381
712,4.707,3.08559443350019
713,4.713,3.02479377897727
714,4.720,2.94331254853909
715,4.726,2.88025648210158
716,4.733,2.82736766937427
717,4.739,2.75508708754005
718,4.746,2.7039763508724
719,4.752,2.67923842019016
720,4.759,2.63158836847082
721,4.765,2.56754183013431
722,4.772,2.51847170424652
723,4.778,2.47023691610488
724,4.785,2.40272969282006
725,4.791,2.34102210017275
726,4.797,2.29956548117125
727,4.804,2.25069822302181
728,4.810,2.20259470224028
729,4.817,2.17135307053449
730,4.823,2.127820040564
731,4.830,2.06762798925612
732,4.836,2.03573002074979
733,4.843,2.03342687524971
734,4.849,2.02372502399806
735,4.856,2.0107414887437
736,4.862,2.00273417977709
737,4.869,1.97649264115179
738,4.875,1.94035831693287
739,4.882,1.91828153364192
740,4.888,1.89211159539485
741,4.894,1.84206293100444
742,4.901,1.80064211219206
743,4.907,1.77400677148644
744,4.914,1.73534256723634
745,4.920,1.69427975031516
746,4.927,1.67128409550345
747,4.933,1.64199954080291
748,4.940,1.60082932331437
749,4.946,1.56917002273551
750,4.953,1.54795244398344
751,4.959,1.52507612313547
752,4.966,1.50579175459591
753,4.972,1.49663883957744
754,4.979,1.47706806952492
755,4.985,1.44792671558086
756,4.991,1.43271163520466
757,4.998,1.42312911791675
758,5.004,1.40136260293151
759,5.011,1.37784187867936
760,5.017,1.3639156051115
761,5.024,1.34416583411338
762,5.030,1.31670708905798
763,5.037,1.29180209082651
764,5.043,1.26343640764673
765,5.050,1.23254084443577
766,5.056,1.21501068516311
767,5.063,1.20126341254085
768,5.069,1.18758774029684
769,5.076,1.18230124570338
770,5.082,1.18771900765694
771,5.089,1.1778381554597
772,5.095,1.1503794104043
773,5.101,1.12485387556141
774,5.108,1.10670317967733
775,5.114,1.08161918050026
776,5.121,1.06655923427692
777,5.127,1.05622491301747
778,5.134,1.03657060919034
779,5.140,1.01041260433965
780,5.147,0.99139077052031
781,5.153,0.969146919680128
782,5.160,0.945351727311391
783,5.166,0.936127211914685
784,5.173,0.92444441686504
785,5.179,0.903859308120772
786,5.186,0.88421693769001
787,5.192,0.872271607920147
788,5.198,0.852617304093012
789,5.205,0.829227847200974
790,5.211,0.815623775335197
791,5.218,0.806697594847828
792,5.224,0.794895465834447
793,5.231,0.785408415717524
794,5.237,0.780837924906478
795,5.244,0.772126545553831
796,5.250,0.761851891276258
797,5.257,0.760575017864294
798,5.263,0.7553959238382
799,5.270,0.745085469371506
800,5.276,0.733486208096475
801,5.283,0.723044486269673
802,5.289,0.708247074766547
